"p","not_SPNE","gCC_satisfied?","gCC_how_determined?","gCC_required_non_negative","gCD_satisfied?","gCD_how_determined?","gCD_required_non_negative","gDC_satisfied?","gDC_how_determined?","gDC_required_non_negative","gDD_satisfied?","gDD_how_determined?","gDD_required_non_negative","bCC_satisfied?","bCC_how_determined?","bCC_required_non_negative","bCD_satisfied?","bCD_how_determined?","bCD_required_non_negative","bDC_satisfied?","bDC_how_determined?","bDC_required_non_negative","bDD_satisfied?","bDD_how_determined?","bDD_required_non_negative"
"_11001111","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","False","directly","-c","False","delta = 1","-b1 + c","True","directly","c"
"_11010000","True","","delta = 1","b1 - 2*c","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","","delta = 1","b1 - 2*c","False","directly","-c","False","delta = 1","-b1 + c","","delta = 1","b1 - 2*c"
"_11010001","True","","delta = 1","b1 - 2*c","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","","delta = 1","b1 - 3*c","","delta = 1","b1 - 2*c","False","directly","-(b2 - c)*d - c","False","delta = 1","-b1 + c","","delta = 1","b1 - 2*c"
"_11010010","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","2*b1 - 2*b2"
"_11010011","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","2*b1 - 2*b2"
"_11010100","True","False","delta = 1","-2*b2 - 2*c","False","directly","(b1 - c)*d/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b1 - c)*d/(d - 1) - (c*d + c)/(d^2 - 1)","False","delta = 1","-2*b2 - 2*c","False","directly","(b1 - c)*d^2/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","False","delta = 1","-2*b2 - 2*c"
"_11010101","True","False","delta = 1","-2*b2 - 2*c","False","directly","(b1 - c)*d/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","False","delta = 1","-2*b2 - 2*c","False","delta = 1","-2*b2 - 2*c","False","directly","-(b2 - c)*d + (b1 - c)*d^2/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","False","delta = 1","-2*b2 - 2*c"
"_11010110","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","True","normalised","(b1 - b2)*d^2 + b1*d + c","","delta = 1","b1 - b2 - c","","delta = 1","b2 - 2*c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c"
"_11010111","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","False","directly","-c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c"
"_11011000","True","","delta = 1","b1 - 2*c","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","","delta = 1","b1 - 2*c","False","directly","-c","False","delta = 1","-b1 + c","","delta = 1","b1 - 2*c"
"_11011001","True","","delta = 1","b1 - 2*c","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","True","directly","(b1 - c)*d^3/(d - 1) + c*d + c - (b1 - c)*d/(d - 1)","","delta = 1","b1 - 3*c","","delta = 1","b1 - 2*c","False","directly","-(b2 - c)*d - c","False","delta = 1","-b1 + c","","delta = 1","b1 - 2*c"
"_11011010","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","2*b1 - 2*b2"
"_11011011","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","2*b1 - 2*b2"
"_11011100","True","False","delta = 1","-2*b2 - 2*c","False","directly","(b1 - c)*d/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b1 - c)*d/(d - 1) - (c*d + c)/(d^2 - 1)","False","delta = 1","-2*b2 - 2*c","False","directly","(b1 - c)*d^2/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","False","delta = 1","-2*b2 - 2*c"
"_11011101","True","False","delta = 1","-2*b2 - 2*c","False","directly","(b1 - c)*d/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","False","delta = 1","-2*b2 - 2*c","False","delta = 1","-2*b2 - 2*c","False","directly","-(b2 - c)*d + (b1 - c)*d^2/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","False","delta = 1","-2*b2 - 2*c"
"_11011110","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","True","normalised","(b1 - b2)*d^2 + b1*d + c","","delta = 1","b1 - b2 - c","","delta = 1","b2 - 2*c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c"
"_11011111","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","False","directly","-c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c"
"_11100000","True","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","directly","c"
"_11100001","True","","delta = 1","3*b1 - b2 - 3*c","","delta = 1","-2*b1 + b2 + 2*c","","delta = 1","-2*b1 + b2 + 2*c","False","directly","-c","","delta = 1","3*b1 - b2 - 3*c","","delta = 1","3*b1 - b2 - 3*c","","delta = 1","3*b1 - b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_11100010","True","True","delta = 1","b1 - c","True","directly","c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c"
"_11100011","True","True","delta = 1","b1 - c","True","directly","c","","delta = 1","2*b1 - b2 - 2*c","False","directly","-c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","directly","(b2 - c)*d - b2*d + c"
"_11100100","True","","delta = 1","b1 - b2 - 2*c","True","delta = 1","b1 - c","True","directly","c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","False","delta = 1","-b1 + c"
"_11100101","True","","delta = 1","b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","True","directly","c","False","directly","-c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","True","directly","(b2 - c)*d + c*d + c"
"_11100110","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c"
"_11100111","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","False","directly","-c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","True","directly","c"
"_11101000","True","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","directly","c"
"_11101001","True","","delta = 1","3*b1 - b2 - 3*c","","delta = 1","-2*b1 + b2 + 2*c","","delta = 1","-2*b1 + b2 + 2*c","False","directly","-c","","delta = 1","3*b1 - b2 - 3*c","","delta = 1","3*b1 - b2 - 3*c","","delta = 1","3*b1 - b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_11101010","True","True","delta = 1","b1 - c","True","directly","c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c"
"_11101011","True","True","delta = 1","b1 - c","True","directly","c","","delta = 1","2*b1 - b2 - 2*c","False","directly","-c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","directly","(b2 - c)*d - b2*d + c"
"_11101100","True","","delta = 1","b1 - b2 - 2*c","True","delta = 1","b1 - c","True","directly","c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","False","delta = 1","-b1 + c"
"_11101101","True","","delta = 1","b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","True","directly","c","False","directly","-c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","True","directly","(b2 - c)*d + c*d + c"
"_11101110","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c"
"_11101111","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","False","directly","-c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","True","directly","c"
"_11110000","False","","delta = 1","b1 - 2*c","True","directly","c","True","directly","c","True","directly","c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c"
"_11110001","True","","delta = 1","b1 - 2*c","True","directly","c","True","directly","c","False","directly","-c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c"
"_11110010","True","True","delta = 1","b1 - c","True","directly","c","False","directly","-c","True","directly","c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c"
"_11110011","True","True","delta = 1","b1 - c","True","directly","c","False","directly","-c","False","directly","-c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c"
"_11110100","True","","delta = 1","b1 - b2 - 2*c","False","directly","-c","True","directly","c","True","directly","c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c"
"_11110101","True","","delta = 1","b1 - b2 - 2*c","False","directly","-c","True","directly","c","False","directly","-c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c"
"_11110110","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","True","directly","c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c"
"_11110111","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","False","directly","-c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c"
"_11111000","False","","delta = 1","b1 - 2*c","True","directly","c","True","directly","c","True","directly","c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c"
"_11111001","True","","delta = 1","b1 - 2*c","True","directly","c","True","directly","c","False","directly","-c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c","","delta = 1","b1 - 2*c"
"_11111010","True","True","delta = 1","b1 - c","True","directly","c","False","directly","-c","True","directly","c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c"
"_11111011","True","True","delta = 1","b1 - c","True","directly","c","False","directly","-c","False","directly","-c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c"
"_11111100","True","","delta = 1","b1 - b2 - 2*c","False","directly","-c","True","directly","c","True","directly","c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c"
"_11111101","True","","delta = 1","b1 - b2 - 2*c","False","directly","-c","True","directly","c","False","directly","-c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c"
"_11111110","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","True","directly","c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c"
"_11111111","True","","delta = 1","b1 - b2 - c","False","directly","-c","False","directly","-c","False","directly","-c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - c"
